country,electricity_demand_per_capita,temperature_change_c,co2_per_capita,gdp,renewables_share_elec,fossil_share_elec,population
Guatemala,633.0636305375533,0.8963181818181819,0.9110860174090909,104384259614.77272,60.400137121027164,39.5998627055775,14946349.181818182
Guinea,115.77184590426359,1.1690454545454545,0.23490955900000002,14466641336.40909,65.81251231106845,34.187486995350234,10967284.954545455
Guinea-Bissau,26.177401065826416,1.2925,0.08576391363636364,2200735138.7272725,0.0,100.0,1650328.1363636365
Haiti,81.32389311356978,0.9351363636363637,0.2344786931818182,15975745173.181818,25.749871904199775,74.25012883273038,10008676.5
Honduras,892.9262528852983,0.7152272727272727,1.0172053197272726,36166662295.86364,46.59284626353871,53.40715356306596,8621890.681818182
Hong Kong,6486.181196732955,0.9377272727272726,5.709479700454545,309639166157.63635,0.204586211591959,99.7954146645286,7176606.2727272725
Hungary,4401.7672119140625,1.4995000000000003,5.238084858045455,212611918285.45456,8.613587750629945,47.93925718827681,9926545.181818182
Iceland,46316.84996448864,0.9740909090909091,10.504146966090909,12662168635.318182,99.98917076804422,0.01082926751537756,325265.04545454547
India,857.1795765269886,0.7605909090909091,1.4411683596363636,6227527569559.046,15.875105467709629,81.4430985884233,1264046750.1363637
Indonesia,805.7426341663707,0.7247727272727272,1.8912454897727273,2271175732087.4546,16.837168433449484,83.1628320867365,250420289.27272728
Iran,3021.6143132990055,1.468409090909091,7.335281111863637,1210231037205.4092,5.824817354028875,93.33795582164417,78804901.04545455
Iraq,1919.8218994140625,1.4703636363636363,3.9066056772727276,333257598226.5909,6.5171134580265395,93.48288553411311,33854869.40909091
Ireland,6389.072731711648,0.9038181818181819,9.276693322227272,233254649410.4091,20.344815752723,79.6551839655096,4541038.318181818
Israel,7308.233065518466,1.0733181818181818,8.327552968818182,229009052538.86365,1.9509356965056874,98.04906359585848,7604081.363636363
Italy,5593.170299183239,1.3434545454545455,6.9278263179090915,2043502120941.682,29.199113629081033,70.80088806152344,59544801.0
Jamaica,1896.113037109375,0.9611363636363636,3.2606043491363637,19307607621.636364,8.385673447088761,91.61432717063211,2754384.0454545454
Japan,8599.236927379261,0.8350454545454545,9.503580787045454,4560712505631.318,12.472204511815852,73.91369559548117,127367888.0
Jordan,1926.4474098899148,1.0787272727272728,2.7792272784545453,75495452142.45454,4.979843025857752,95.02015755393289,8155011.318181818
Kazakhstan,4898.804021661932,1.5533181818181818,13.933288747363635,352401134550.2727,10.875961390408603,89.12403696233577,17422237.5
Kenya,194.49690662730825,0.9825454545454545,0.29441915927272727,119287034376.04546,77.6125001040372,22.3874989639629,43080690.27272727
Kuwait,18254.848721590908,1.6308636363636362,27.23071245772727,180552712482.0909,0.13617386355657468,99.86382536454634,3253979.0
Kyrgyzstan,2295.325772372159,1.3578181818181818,1.3595335482727273,23409413818.454544,88.37810759110884,11.621892994100397,5782658.954545454
Laos,680.5086565884677,0.8972272727272728,1.1600940424545454,31414234770.545456,88.14148625460538,11.858513918789951,6497221.136363637
Latvia,3535.8955300071025,1.6976363636363636,3.6644447499090913,41536122086.27273,60.52671120383523,39.47328827597878,2080531.9545454546
Lebanon,2844.803353049538,1.1423636363636365,3.811793034681818,55102231839.5,7.168404524976557,92.83159689469771,5342597.090909091
Lesotho,334.65845489501953,0.8378636363636364,1.0696942508636362,4518620040.363636,100.0,0.0,2068199.4090909092
Liberia,68.52618598937988,1.0426363636363636,0.16157699818181817,3417489924.7727275,7.2314747030084785,92.76852555708452,4196983.545454546
Libya,4600.444313742898,0.9689545454545455,8.900834777545453,107582204141.13637,0.017681042663753005,99.98231783780184,6348779.090909091
Lithuania,3858.2638938210225,1.6465909090909092,4.422929059454545,62977070058.36364,31.129388814622704,37.58041546561501,3068607.772727273
Luxembourg,12982.884232954546,1.5815,19.426632274545454,29082144738.18182,31.52700057896701,68.47300039638172,534664.4545454546
Madagascar,65.98457475142045,0.9692727272727274,0.10978663440909092,29390383534.590908,52.1354396126487,47.86456004056063,23336128.045454547
Malawi,112.27657560868697,0.8540454545454547,0.07264925827272727,18344385942.090908,92.97274745594372,7.027251503684304,15687012.090909092
Malaysia,4395.814275568182,0.9145454545454546,7.141679460272727,582213860158.1818,10.621712988073176,89.37828653508967,29339125.681818184
Mali,123.73114897988059,1.175681818181818,0.1742291514090909,21551096557.545456,41.09658518704501,58.90341463955966,16976569.772727273
Malta,5277.281360973011,1.2928636363636363,5.263851751045454,11653586548.272728,4.456135679375041,95.54386520385742,444433.1818181818
Mauritania,296.7569746537642,1.4241818181818182,0.6884924959090909,10356012077.90909,17.439564683220603,82.56043486161666,3635299.1363636362
Mauritius,2096.2912875088778,0.7493181818181818,2.9993664351818183,22084307683.272728,22.93350531838157,77.06649537519975,1273905.1363636365
Mexico,2469.434503728693,0.8913181818181819,4.0165918306818185,1705770505445.318,16.269244497472588,80.05877373435281,115325821.4090909
Mongolia,1954.1780007102273,1.5935000000000001,8.01815208509091,27093775392.227272,3.2456091290170495,96.75439106334339,2847440.5
Morocco,875.6569685502486,1.4486363636363637,1.6185863613181817,235933086724.77274,13.60106593912298,86.39893237027255,33100617.954545453
Mozambique,524.1807986172763,0.7050909090909091,0.1681453256818182,23951222407.18182,93.70337052778764,6.296629344536499,24602136.227272727
Myanmar,231.77177047729492,0.9978181818181817,0.35529940168181817,216226805991.4091,55.94603434475985,44.05396522175182,49769027.09090909
Namibia,1649.7673506303267,0.6610909090909091,1.295202336590909,18144699117.31818,96.9667046286843,3.03329319303686,2259125.5454545454
Nepal,181.66013891046697,0.7188181818181818,0.2610238551818182,63576647297.59091,99.79271177812056,0.20728847248987717,27356932.0
New Zealand,9623.086115056818,0.5945909090909091,7.964463992590908,150625699630.27274,74.43266296386719,25.567338379946623,4477991.636363637
Nicaragua,659.4635744961826,0.9398636363636363,0.7983513690454545,23951733152.409092,43.52791812203147,56.472081357782535,5874722.363636363
Niger,55.11431139165705,0.9314090909090909,0.08333813636363636,14730991462.90909,0.9315385601737283,99.06846063787287,17931480.818181816
Nigeria,156.78494852239436,1.0067272727272727,0.6263375065454545,795720961703.2273,25.54959314519709,74.45040668140759,174829136.63636363
North Macedonia,4047.446444424716,1.247409090909091,3.8932401159090912,22854419836.090908,23.495795033194803,76.50420310280539,2004311.1818181819
Norway,25694.017311789772,1.4314545454545455,8.844531471,385528698702.63635,98.41056650335139,1.5894335928288372,4976441.681818182
Oman,6778.764137961648,1.1309545454545455,15.641557215363635,130404811479.81818,0.30873866988853976,99.69126094471325,3433868.3636363638
Pakistan,536.1182889071378,0.8278636363636364,0.7796036844090909,882811274836.0454,30.593256083401766,64.88041392239657,202590868.36363637
Palestine,1148.3321366743608,1.072818181818182,0.5996328254090909,19166613021.31818,5.754518980329687,94.24548235806552,4203291.318181818
Panama,2182.0045554421163,0.9467727272727273,2.294786491181818,60028558656.59091,62.89888173883612,37.10111886804754,3734499.5454545454
Paraguay,2030.052784312855,0.8757272727272727,0.9310947439545455,48377234684.40909,99.99917984008789,0.0008200351148843727,5918213.318181818
Peru,1313.5104120427911,0.8773636363636363,1.410382227409091,242491246340.4091,63.443369431929156,36.556630394675516,29845338.454545453
Philippines,749.492373379794,0.8380454545454546,0.9764620418181817,648725033259.409,28.447176586497914,71.5528238469904,98703174.68181819
Poland,4138.680042613636,1.498909090909091,8.451742692409091,836331047861.9546,9.125773538242687,90.87422700361772,38181211.95454545
Portugal,5086.938010475852,1.2426363636363638,5.265811866,262539824528.63635,43.84949051250111,56.15051009438255,10446602.318181818
Qatar,16892.434303977272,1.4979090909090909,46.77532178681818,241344338370.31818,0.17852738203311508,99.8214718211781,1836760.0454545454
Republic of Congo,396.96983476118606,0.8408181818181819,1.145488051,22370735560.636364,59.204810402610086,40.79519007422707,4620004.318181818
Romania,2837.169777610085,1.387318181818182,4.345589453500001,350852489801.63635,34.14902036840265,49.75298222628507,20375023.818181816
Russia,7040.802689985795,1.7701363636363636,11.191886987272726,3049732441335.636,17.364277492869984,65.56572844765402,145140695.9090909
Saint Lucia,2115.5981278852983,0.9038636363636364,2.6387984643636364,1535035445.1818182,0.5659798058596525,99.43401960893111,171263.4090909091
Sao Tome and Principe,370.0852487737482,0.9283636363636364,0.5572821998636364,582779922.5,11.941492774269797,88.05850809270686,186534.04545454544
Saudi Arabia,10488.682572798296,1.2835,20.729058612727272,1231855785697.1365,0.05347920026079834,99.94652037187056,25793619.40909091
Senegal,291.26786041259766,1.3174545454545454,0.5677829317727272,33440406169.772728,11.658729141408747,88.34127114035867,13503070.318181818
Seychelles,3937.765969016335,0.6851363636363637,4.5350988778636365,2046352443.4545455,2.694733489643444,97.30526560003108,101479.18181818182
Sierra Leone,23.011513406580146,1.024318181818182,0.1233426969090909,8306709639.954545,54.67043354294517,45.32956517826427,6498535.5
Slovakia,5345.064608487216,1.4590454545454548,6.994504776818181,119301150708.18182,19.55788686058738,24.835466731678356,5407849.2272727275
Slovenia,7152.240545099432,1.6615,7.557457988863636,55073127848.63636,28.62070707841353,34.29567657817494,2044162.7727272727
South Africa,4564.0993319424715,0.9696363636363636,8.279046145272728,600996187404.8636,2.6156010140072214,92.38273551247336,54072543.90909091
South Korea,9812.357155539772,1.0488636363636363,11.587800546409092,1636713764760.5454,2.822124394503507,66.40958161787553,49603009.09090909
Spain,6027.517933238636,1.3327272727272728,6.391615520818181,1446386869004.682,29.942627516659822,48.7684137170965,45830791.27272727
